session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,habitat,octocoral,stony,relief_cm,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_max_depth,SVC_abundance,SVC_area,SVC_density,prey_date,prey_depth,prey_abundance,prey_area,prey_density,SVC_prey_difference,total_density,log_difference,average_depth
142,BISC-P13a,Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,23,colourful,0,omnivore,compressiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,0,120,0,0.006496120127292773,0.006496120127292773,2.0143855703270273,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,3,120,0.025,-0.018503879872707227,0.031496120127292776,-1.2437109676944544,18
142,BISC-P13a,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,solitary,12,colourful,0,omnivore,globiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,1,120,0.008333333333333333,-0.0018372132060405603,0.014829453460626106,-0.219206651180067,18
142,BISC-P13a,Perciformes,Carangidae,Caranx ruber,bar jack,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,schooling,50,silvering,0,carnivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,0,120,0,0.006496120127292773,0.006496120127292773,2.0143855703270273,18
142,BISC-P13a,Perciformes,Labridae,Scarus iseri,striped parrotfish,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,5,120,0.041666666666666664,-0.03517054653937389,0.04816278679395944,-1.73903240492448,18
142,BISC-P13a,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,25,colourful,0,planktivore,fusiform,2014-09-16,20,1.75,153.93804,0.011368210222762352,2014-09-16,16,0,120,0,0.011368210222762352,0.011368210222762352,2.5151294890132228,18
142,BISC-P13a,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,4,17.94356,Patch,80,5,49.07692307692308,0,0,demersal,schooling,86.3,colourful,0,carnivore,fusiform,2014-09-16,20,3.75,153.93804,0.0243604504773479,2014-09-16,16,0,120,0,0.0243604504773479,0.0243604504773479,3.2331908927136213,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,1,120,0.008333333333333333,-0.0018372132060405603,0.014829453460626106,-0.219206651180067,18
142,BISC-P13a,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,solitary,10,neutral,0,omnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
142,BISC-P13a,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,solitary,10,colourful,0,omnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,3,120,0.025,-0.025,0.025,-3.2580965380214817,18
142,BISC-P13a,Perciformes,Serranidae,Hypoplectrus nigricans,black hamlet,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,solitary,15.2,neutral,0,carnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,4,17.94356,Patch,80,5,49.07692307692308,0,0,demersal,schooling,46,colourful,0,invertivore,fusiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,solitary,8,camouflage,1,omnivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
142,BISC-P13a,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,solitary,13,neutral,1,carnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,solitary,8.2,camouflage,0,omnivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Sciaenidae,Pareques acuminatus,highhat,3,12.91456,Patch,80,5,49.07692307692308,0,1,demersal,schooling,25,colourful,1,carnivore,fusiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Gobiidae,Elacatinus oceanops,neon goby,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,solitary,5,colourful,0,invertivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,1,3.63321,Patch,80,5,49.07692307692308,0,0,benthic,solitary,4,camouflage,1,invertivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
142,BISC-P13a,Perciformes,Lutjanidae,Lutjanus apodus,schoolmaster snapper,4,17.94356,Patch,80,5,49.07692307692308,0,0,demersal,solitary,67.2,colourful,1,carnivore,fusiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Labridae,Halichoeres bivittatus,slippery dick,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,35,colourful,0,carnivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,1,120,0.008333333333333333,-0.008333333333333333,0.008333333333333333,-2.2335922215070942,18
142,BISC-P13a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
142,BISC-P13a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,9,120,0.075,-0.075,0.075,-4.330733340286331,18
142,BISC-P13a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,4,17.94356,Patch,80,5,49.07692307692308,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,20,0,153.93804,0,2014-09-16,16,5,120,0.041666666666666664,-0.041666666666666664,0.041666666666666664,-3.7534179752515073,18
142,BISC-P13a,Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,19.3,colourful,0,invertivore,elongated,2014-09-16,20,0,153.93804,0,2014-09-16,16,2,120,0.016666666666666666,-0.016666666666666666,0.016666666666666666,-2.8716796248840115,18
