session,site,SVC_date,SVC_dive_start,SVC_dive_end
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
152,BISC-W60-6d,2014-09-18,1022,1052
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
153,BISC-P10a,2014-09-19,1540,1625
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
154,BISC-P14a,2014-09-19,1420,1510
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
155,BISC-W60-11c,2014-09-19,1033,1115
