session,site,SVC_date,prey_date,pred_date,SVC_dive_start,SVC_dive_end,prey_time,pred_time_start,pred_time_end,,legend:,,unmatched date,,unmatched time,
251,KL-P7,2015-10-31,2015-10-31,2015-10-31,NA,NA,1411,50640,51440,,,,,,,
252,KL-P8,2015-10-31,2015-10-31,2015-10-31,NA,NA,1521,54090,54990,,,,,,,
253,KL-30,2015-10-31,2015-10-31,2015-10-31,NA,NA,1637.5,59040,59820,,,,,,,
264,FKSP1,2015-12-11,2015-12-11,NA,NA,NA,1527.75,NA,NA,,,,,,,
265,Ten 2A,2015-12-11,2015-12-11,NA,NA,NA,NA,NA,NA,,,,,,,
266,Ten 3A,2015-12-11,2015-12-11,NA,NA,NA,1083.25,NA,NA,,,,,,,
267,Ten 5A,2015-12-11,2015-12-11,NA,NA,NA,1178.5,NA,NA,,,,,,,
268,BISC-P12a,2015-12-14,2015-12-15,NA,NA,NA,946.5,NA,NA,,,,,,,
269,BISC-P13a,2015-12-15,2015-12-15,NA,NA,NA,1058.75,NA,NA,,,,,,,
270,BISC-P14a,2015-12-15,2015-12-15,NA,NA,NA,1180,NA,NA,,,,,,,
271,BISC-P15a,2015-12-15,2015-12-15,NA,NA,NA,1273.5,NA,NA,,,,,,,
272,KL-P11,2015-12-15,2015-12-15,NA,NA,NA,1584.25,NA,NA,,,,,,,
273,KL-P13,2015-12-15,2015-12-15,NA,NA,NA,1484.25,NA,NA,,,,,,,
274,KL-P14,2015-12-15,2015-12-15,NA,NA,NA,1410.75,NA,NA,,,,,,,
NA,Sheet2,2014-09-29,NA,NA,1636,NA,NA,NA,NA,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
